DATE,CPIAUCSL_PC1
2000/1/1,2.79296
2000/2/1,3.21797
2000/3/1,3.76214
2000/4/1,3.01386
2000/5/1,3.13253
2000/6/1,3.73494
2000/7/1,3.59928
2000/8/1,3.35129
2000/9/1,3.4565
2000/10/1,3.45033
2000/11/1,3.44418
2000/12/1,3.43602
2001/1/1,3.7212
2001/2/1,3.52941
2001/3/1,2.98246
2001/4/1,3.21826
2001/5/1,3.56308
2001/6/1,3.19396
2001/7/1,2.72148
2001/8/1,2.72148
2001/9/1,2.59217
2001/10/1,2.12766
2001/11/1,1.89437
2001/12/1,1.60367
2002/1/1,1.1959
2002/2/1,1.13636
2002/3/1,1.36286
2002/4/1,1.64399
2002/5/1,1.24083
2002/6/1,1.06922
2002/7/1,1.46561
2002/8/1,1.74746
2002/9/1,1.516
2002/10/1,2.02703
2002/11/1,2.25352
2002/12/1,2.48027
2003/1/1,2.75746
2003/2/1,3.14607
2003/3/1,3.02521
2003/4/1,2.17513
2003/5/1,1.89415
2003/6/1,1.94878
2003/7/1,2.05556
2003/8/1,2.21607
2003/9/1,2.37832
2003/10/1,2.04194
2003/11/1,1.92837
2003/12/1,2.0352
2004/1/1,2.02629
2004/2/1,1.68845
2004/3/1,1.74008
2004/4/1,2.29258
2004/5/1,2.89776
2004/6/1,3.16767
2004/7/1,2.93958
2004/8/1,2.54743
2004/9/1,2.53917
2004/10/1,3.19091
2004/11/1,3.62162
2004/12/1,3.34232
2005/1/1,2.84487
2005/2/1,3.05303
2005/3/1,3.20684
2005/4/1,3.36179
2005/5/1,2.86929
2005/6/1,2.54103
2005/7/1,3.06716
2005/8/1,3.64693
2005/9/1,4.74183
2005/10/1,4.3501
2005/11/1,3.33855
2005/12/1,3.33855
2006/1/1,4.01879
2006/2/1,3.63825
2006/3/1,3.41792
2006/4/1,3.61384
2006/5/1,3.97727
2006/6/1,4.18172
2006/7/1,4.10467
2006/8/1,3.92657
2006/9/1,2.01207
2006/10/1,1.40633
2006/11/1,1.9687
2006/12/1,2.52398
2007/1/1,2.07577
2007/2/1,2.42026
2007/3/1,2.7982
2007/4/1,2.59292
2007/5/1,2.70989
2007/6/1,2.69277
2007/7/1,2.31789
2007/8/1,1.89745
2007/9/1,2.83383
2007/10/1,3.6107
2007/11/1,4.37327
2007/12/1,4.10881
2008/1/1,4.2947
2008/2/1,4.14296
2008/3/1,3.9749
2008/4/1,3.90376
2008/5/1,4.08841
2008/6/1,4.93597
2008/7/1,5.49751
2008/8/1,5.30802
2008/9/1,4.95332
2008/10/1,3.73106
2008/11/1,1.09992
2008/12/1,-0.02223
2009/1/1,-0.11359
2009/2/1,0.00846
2009/3/1,-0.44648
2009/4/1,-0.57632
2009/5/1,-1.01576
2009/6/1,-1.22917
2009/7/1,-1.95876
2009/8/1,-1.48384
2009/9/1,-1.37794
2009/10/1,-0.22397
2009/11/1,1.91459
2009/12/1,2.81412
2010/1/1,2.62111
2010/2/1,2.15134
2010/3/1,2.28617
2010/4/1,2.20677
2010/5/1,2.00355
2010/6/1,1.12156
2010/7/1,1.34078
2010/8/1,1.15018
2010/9/1,1.11831
2010/10/1,1.1667
2010/11/1,1.08454
2010/12/1,1.43779
2011/1/1,1.70078
2011/2/1,2.1249
2011/3/1,2.61924
2011/4/1,3.07723
2011/5/1,3.45897
2011/6/1,3.50232
2011/7/1,3.57988
2011/8/1,3.755
2011/9/1,3.81262
2011/10/1,3.52227
2011/11/1,3.45143
2011/12/1,3.06207
2012/1/1,3.00877
2012/2/1,2.89818
2012/3/1,2.58288
2012/4/1,2.27316
2012/5/1,1.73794
